iter	Logloss
0	0.6925118301
1	0.6919096845
2	0.6912783316
3	0.6906484807
4	0.6900438273
5	0.6894433307
6	0.6888266131
7	0.6882185522
8	0.687622558
9	0.6870349686
10	0.6864498197
11	0.6858719839
12	0.6852901485
13	0.6847181
14	0.6841289092
15	0.6835349811
16	0.6829835711
17	0.682400742
18	0.6818439387
19	0.6812673819
20	0.6806968647
21	0.6801447989
22	0.6796076731
23	0.6790833475
24	0.6785507884
25	0.6780060897
26	0.6774658664
27	0.676943361
28	0.6764278183
29	0.6758934187
30	0.6753587264
31	0.6748446281
32	0.6743258786
33	0.6737978674
34	0.6732909726
35	0.6727863729
36	0.6722657145
37	0.6717483198
38	0.6712511311
39	0.6707551707
40	0.6702535194
41	0.6697306772
42	0.66922683
43	0.6687577905
44	0.66828114
45	0.6677894923
46	0.6672764204
47	0.6667838084
48	0.6662971106
49	0.6658188102
50	0.6653567574
51	0.6648967561
52	0.6644200705
53	0.6639604478
54	0.6634925584
55	0.6630359031
56	0.6625579131
57	0.6621003711
58	0.6616220026
59	0.6611404925
60	0.6606862821
61	0.6602345715
62	0.6597909024
63	0.6593446263
64	0.6589031822
65	0.6584527782
66	0.6580163028
67	0.6575725983
68	0.6571406777
69	0.6567244712
70	0.6563017292
71	0.6558666325
72	0.6554307243
73	0.6550119672
74	0.6545777533
75	0.6541574637
76	0.6537477009
77	0.6533146876
78	0.6529043377
79	0.6524801891
80	0.6520751169
81	0.6516672113
82	0.6512648675
83	0.6508410656
84	0.6504458672
85	0.650044936
86	0.6496461402
87	0.6492460474
88	0.6488351453
89	0.6484404209
90	0.6480467157
91	0.6476659492
92	0.647249145
93	0.6468363844
94	0.6464148777
95	0.6460088422
96	0.6456116429
97	0.6452233968
98	0.6448507732
99	0.6444780426
100	0.6441000077
101	0.6437273391
102	0.6433601424
103	0.6429956342
104	0.6426053884
105	0.6422324188
106	0.6418654125
107	0.641486847
108	0.6411350156
109	0.6407801695
110	0.6403921377
111	0.6400115135
112	0.6396398119
113	0.6392803902
114	0.6389300021
115	0.638570655
116	0.6381947065
117	0.6378434274
118	0.6374882044
119	0.6371335016
120	0.636784679
121	0.6364402534
122	0.6361038434
123	0.635759038
124	0.6354227613
125	0.635074548
126	0.6347435194
127	0.6343918679
128	0.6340581343
129	0.633726403
130	0.6333848356
131	0.6330283335
132	0.6326930441
133	0.6323574516
134	0.6320258401
135	0.6316902952
136	0.6313719505
137	0.6310496852
138	0.630728175
139	0.6304081612
140	0.6300863326
141	0.6297710702
142	0.6294476596
143	0.62912451
144	0.6288024729
145	0.6284892971
146	0.6281541687
147	0.6278407764
148	0.6274932146
149	0.627176681
150	0.626876853
151	0.6265710068
152	0.626236062
153	0.6259101262
154	0.6255874819
155	0.6252829535
156	0.624978669
157	0.6246789243
158	0.6243619963
159	0.6240591526
160	0.6237335329
161	0.6234401508
162	0.6231460163
163	0.622853935
164	0.6225629177
165	0.6222709769
166	0.6219625369
167	0.6216837186
168	0.6213964031
169	0.6211088932
170	0.6208100114
171	0.6205274903
172	0.6202239898
173	0.6199546304
174	0.6196688242
175	0.619359932
176	0.6190732858
177	0.6187816415
178	0.6185117308
179	0.6182375868
180	0.6179713691
181	0.6176693763
182	0.6173978923
183	0.6171093599
184	0.6168329382
185	0.6165730872
186	0.6162831983
187	0.6160103524
188	0.615724566
189	0.6154642586
190	0.615193216
191	0.6149363354
192	0.6146598849
193	0.6143969764
194	0.614132513
195	0.6138444958
196	0.6135691123
197	0.613293548
198	0.6130382811
199	0.612753604
200	0.6125071834
201	0.6122466754
202	0.6119716246
203	0.6117165615
204	0.611459381
205	0.6112105754
206	0.6109392541
207	0.6106755319
208	0.6103969102
209	0.6101533201
210	0.6098807024
211	0.6096302354
212	0.6093795575
213	0.6091230411
214	0.6088772943
215	0.608631834
216	0.6083812392
217	0.6081386484
218	0.6078727657
219	0.6076340439
220	0.6073736766
221	0.607102792
222	0.6068640347
223	0.6066244487
224	0.6063889821
225	0.6061549028
226	0.6059225158
227	0.6056513687
228	0.6053848597
229	0.6051349099
230	0.6048934829
231	0.6046468816
232	0.6043965552
233	0.6041571956
234	0.6039307708
235	0.6036873403
236	0.6034562346
237	0.6031967833
238	0.6029718955
239	0.6027583265
240	0.6025327146
241	0.6022873101
242	0.6020529451
243	0.601810859
244	0.6015911121
245	0.6013704385
246	0.6011529477
247	0.6009174933
248	0.600679648
249	0.6004508829
250	0.6002373138
251	0.6000237459
252	0.5998121518
253	0.5995961233
254	0.5993682591
255	0.599162851
256	0.598952851
257	0.5987493079
258	0.5985438225
259	0.5983219721
260	0.5981190222
261	0.5979168076
262	0.5976939247
263	0.5974535114
264	0.5972402262
265	0.5970340985
266	0.596820783
267	0.5965864993
268	0.5963678883
269	0.5961404925
270	0.5959162832
271	0.5957157065
272	0.5955132988
273	0.5953119149
274	0.5951182709
275	0.5948938159
276	0.5946961895
277	0.5944907418
278	0.5942861936
279	0.5940787843
280	0.5938603544
281	0.5936460386
282	0.5934174121
283	0.5932087244
284	0.5930068045
285	0.5928155674
286	0.5925916975
287	0.5923925545
288	0.592169171
289	0.5919593627
290	0.5917674098
291	0.5915863833
292	0.5913892082
293	0.5911926513
294	0.5910074363
295	0.5908022812
296	0.5906056792
297	0.5904235738
298	0.5902372851
299	0.5900191185
300	0.5898088511
301	0.5896153229
302	0.5894320091
303	0.5892204213
304	0.5890101773
305	0.5888278729
306	0.5886482418
307	0.5884758325
308	0.588285722
309	0.5880944426
310	0.587898396
311	0.5877020354
312	0.587513977
313	0.5873395525
314	0.5871545764
315	0.586951014
316	0.5867694073
317	0.5865914055
318	0.5864113905
319	0.58623408
320	0.5860536531
321	0.58586999
322	0.5856870035
323	0.585501119
324	0.585307342
325	0.5851207235
326	0.5849171482
327	0.5847241581
328	0.5845531233
329	0.5843743972
330	0.5841713179
331	0.5840056785
332	0.5838025998
333	0.5836369792
334	0.5834618728
335	0.5832762719
336	0.5830849741
337	0.5829095237
338	0.5827403964
339	0.5825777059
340	0.5824099512
341	0.5822318957
342	0.582074852
343	0.5819112004
344	0.5817122384
345	0.5815507922
346	0.5813812885
347	0.581221602
348	0.5810547978
349	0.5808652692
350	0.5807095596
351	0.5805402319
352	0.5803807634
353	0.5802177211
354	0.5800511802
355	0.5798796864
356	0.579719635
357	0.5795321128
358	0.5793618912
359	0.5791812931
360	0.5790176071
361	0.5788282632
362	0.57867189
363	0.5785156019
364	0.5783600831
365	0.5782100168
366	0.5780441073
367	0.5778776303
368	0.5777290095
369	0.5775545432
370	0.5773664975
371	0.5771871156
372	0.5770365102
373	0.5768864966
374	0.5767286965
375	0.5765681612
376	0.5764059956
377	0.576247158
378	0.5760851378
379	0.575940914
380	0.5757781706
381	0.5756339632
382	0.575469299
383	0.5753254142
384	0.5751862814
385	0.5750366932
386	0.5748661285
387	0.5747201348
388	0.5745808914
389	0.5744382415
390	0.5742999055
391	0.5741304267
392	0.5739807379
393	0.5738378894
394	0.5736612909
395	0.5735179197
396	0.5733773133
397	0.573232086
398	0.5730576858
399	0.5728924367
400	0.5727531295
401	0.5726010846
402	0.572464073
403	0.5723104607
404	0.5721528281
405	0.5719931665
406	0.5718536261
407	0.5716866125
408	0.5715360063
409	0.571401242
410	0.5712238083
411	0.5710939477
412	0.5709494272
413	0.5708180303
414	0.5706873388
415	0.5705380122
416	0.5703983121
417	0.570261653
418	0.5701216647
419	0.569987152
420	0.5698549319
421	0.5697026777
422	0.5695573243
423	0.5694064543
424	0.5692545102
425	0.5691092407
426	0.5689676635
427	0.5688087781
428	0.5686423677
429	0.5685147955
430	0.5683457545
431	0.5682050684
432	0.5680400403
433	0.567887572
434	0.5677568983
435	0.5676235279
436	0.5674914274
437	0.5673317464
438	0.5671981853
439	0.5670687844
440	0.5669429571
441	0.566789649
442	0.5666469778
443	0.5664980343
444	0.5663696288
445	0.5662227828
446	0.5660994656
447	0.5659790388
448	0.5658343261
449	0.5657136859
450	0.5655619063
451	0.5654380521
452	0.5653135286
453	0.5651938889
454	0.5650531641
455	0.5649383402
456	0.5648221873
457	0.5647052367
458	0.5645753946
459	0.5644560924
460	0.5643124212
461	0.5641945638
462	0.5640833096
463	0.5639529974
464	0.5638348296
465	0.5637212222
466	0.5635825316
467	0.5634319617
468	0.5633193646
469	0.563197559
470	0.5630791543
471	0.562953461
472	0.5628289935
473	0.5626797648
474	0.5625530328
475	0.5624361348
476	0.5623098398
477	0.5621891391
478	0.5620576321
479	0.5619462795
480	0.5618324566
481	0.5617183479
482	0.5615706047
483	0.5614384245
484	0.5613233868
485	0.5611988353
486	0.5610711442
487	0.5609616065
488	0.5608546853
489	0.5607279278
490	0.5605953676
491	0.5604856667
492	0.5603475137
493	0.5602179348
494	0.5600789181
495	0.5599581444
496	0.5598292516
497	0.559711987
498	0.5595744101
499	0.5594691251
500	0.5593423727
501	0.5592300175
502	0.5590878845
503	0.5589830168
504	0.5588756241
505	0.5587319419
506	0.5586295456
507	0.5585262255
508	0.5583924224
509	0.5582632258
510	0.5581175646
511	0.5579797267
512	0.5578705136
513	0.5577446974
514	0.557617886
515	0.5575053843
516	0.5574038762
517	0.5572792869
518	0.5571527298
519	0.5570453244
520	0.5569198045
521	0.5568136948
522	0.5567100713
523	0.5566049698
524	0.5564920637
525	0.5563712675
526	0.5562280462
527	0.5561196887
528	0.5559815253
529	0.5558610807
530	0.5557305203
531	0.5556262017
532	0.5554972082
533	0.5553806893
534	0.5552834312
535	0.5551846877
536	0.5550843509
537	0.5549873198
538	0.5548828053
539	0.554779465
540	0.5546788669
541	0.5545440906
542	0.5544291207
543	0.5542923764
544	0.5541859089
545	0.5540763271
546	0.5539640989
547	0.5538469898
548	0.5537435171
549	0.5536421937
550	0.5535378717
551	0.5534334317
552	0.5533055644
553	0.5531922208
554	0.5530791408
555	0.5529749963
556	0.5528715032
557	0.5527727613
558	0.552669341
559	0.5525597904
560	0.5524662898
561	0.5523665419
562	0.5522318992
563	0.5521395193
564	0.5520390528
565	0.5519282259
566	0.5518315366
567	0.5517401721
568	0.5516107554
569	0.5515001657
570	0.5513876062
571	0.5512659941
572	0.5511776579
573	0.551078703
574	0.5509883768
575	0.550891532
576	0.5507889886
577	0.5506970653
578	0.5505771001
579	0.5504900643
