iter	Passed	Remaining
0	110	4421002
1	170	3404804
2	228	3049234
3	286	2865630
4	345	2767077
5	403	2689326
6	461	2634742
7	519	2595176
8	577	2566406
9	636	2546777
10	695	2527948
11	753	2509362
12	817	2514036
13	880	2515801
14	939	2504475
15	997	2492953
16	1055	2482199
17	1115	2478775
18	1174	2472229
19	1232	2464403
20	1291	2459216
21	1349	2452872
22	1408	2447969
23	1466	2442589
24	1526	2440551
25	1586	2438677
26	1645	2435577
27	1702	2430801
28	1762	2429017
29	1826	2434119
30	1894	2441983
31	1958	2446510
32	2024	2452420
33	2089	2456305
34	2151	2456490
35	2214	2458666
36	2279	2462133
37	2342	2463413
38	2402	2461794
39	2460	2457683
40	2518	2454308
41	2577	2451878
42	2635	2448708
43	2693	2445797
44	2751	2443466
45	2813	2443409
46	2875	2444592
47	2934	2442364
48	2992	2439946
49	3051	2437915
50	3109	2435726
51	3168	2434214
52	3228	2433544
53	3287	2431979
54	3346	2430308
55	3404	2428567
56	3464	2427597
57	3522	2425729
58	3580	2423967
59	3638	2422133
60	3696	2420506
61	3754	2418802
62	3820	2421808
63	3882	2422447
64	3942	2421963
65	4001	2420989
66	4060	2419915
67	4118	2418542
68	4178	2418166
69	4237	2417314
70	4296	2416404
71	4355	2415299
72	4414	2414400
73	4473	2413605
74	4531	2412272
75	4588	2410532
76	4647	2409682
77	4706	2408764
78	4767	2409114
79	4833	2411689
80	4905	2417563
81	4971	2420163
82	5040	2424023
83	5106	2426727
84	5171	2428438
85	5231	2428175
86	5290	2427100
87	5348	2425811
88	5406	2424315
89	5464	2423017
90	5522	2422069
91	5580	2420771
92	5638	2419569
93	5696	2418400
94	5755	2417595
95	5824	2420909
96	5891	2423551
97	5952	2423742
98	6015	2424517
99	6073	2423422
100	6132	2422408
101	6189	2421179
102	6247	2419928
103	6306	2419221
104	6365	2418467
105	6424	2417854
106	6482	2416988
107	6542	2416646
108	6602	2416265
109	6660	2415182
110	6718	2414503
111	6783	2415884
112	6846	2416648
113	6904	2415608
114	6962	2414663
115	7020	2413701
116	7078	2412941
117	7136	2412164
118	7194	2411109
119	7253	2410444
120	7311	2409757
121	7369	2408945
122	7428	2408323
123	7485	2407319
124	7544	2406796
125	7603	2406222
126	7661	2405393
127	7719	2404743
128	7782	2405264
129	7852	2408305
130	7919	2410191
131	7984	2411455
132	8049	2412905
133	8117	2414953
134	8181	2415823
135	8239	2415067
136	8298	2414596
137	8356	2413867
138	8415	2413412
139	8474	2412844
140	8534	2412514
141	8592	2411709
142	8651	2411260
143	8710	2410878
144	8771	2410979
145	8832	2411127
146	8890	2410401
147	8949	2409734
148	9007	2409238
149	9066	2408718
150	9125	2408179
151	9183	2407561
152	9242	2407112
153	9300	2406519
154	9359	2405903
155	9417	2405325
156	9476	2404845
157	9534	2404306
158	9593	2403759
159	9651	2403260
160	9710	2402761
161	9772	2403213
162	9835	2403823
163	9894	2403414
164	9955	2403412
165	10013	2402857
166	10071	2402351
167	10130	2401787
168	10188	2401252
169	10247	2400858
170	10305	2400283
171	10363	2399752
172	10422	2399381
173	10480	2398739
174	10537	2398076
175	10596	2397638
176	10655	2397377
177	10713	2396879
178	10778	2397768
179	10849	2400116
180	10917	2401889
181	10980	2402295
182	11045	2403174
183	11106	2403431
184	11167	2403444
185	11226	2403171
186	11285	2402718
187	11344	2402281
188	11402	2401800
189	11461	2401539
190	11519	2401000
191	11579	2400781
192	11637	2400378
193	11695	2399843
194	11755	2399692
195	11818	2400129
196	11878	2400071
197	11937	2399615
198	11995	2399096
199	12054	2398767
200	12113	2398494
201	12172	2398131
202	12230	2397660
203	12291	2397771
204	12351	2397684
205	12408	2397101
206	12467	2396658
207	12525	2396205
208	12583	2395803
209	12644	2395917
210	12703	2395500
211	12769	2396507
212	12830	2396741
213	12888	2396232
214	12946	2395687
215	13004	2395325
216	13064	2395166
217	13123	2394861
218	13181	2394397
219	13240	2394162
220	13299	2393772
221	13356	2393287
222	13414	2392783
223	13474	2392634
224	13536	2392983
225	13594	2392553
226	13655	2392542
227	13714	2392275
228	13776	2392679
229	13848	2394671
230	13914	2395458
231	13980	2396464
232	14048	2397688
233	14106	2397252
234	14166	2397164
235	14224	2396692
236	14282	2396320
237	14342	2396079
238	14403	2396190
239	14463	2396096
240	14521	2395614
241	14579	2395336
242	14638	2395059
243	14697	2394752
244	14764	2395776
245	14829	2396468
246	14887	2396016
247	14945	2395584
248	15003	2395239
249	15061	2394778
250	15122	2394765
251	15180	2394477
252	15239	2394198
253	15297	2393825
254	15357	2393607
255	15417	2393491
256	15474	2393079
257	15532	2392574
258	15592	2392458
259	15652	2392353
260	15709	2391948
261	15776	2392811
262	15842	2393642
263	15900	2393210
264	15958	2392923
265	16016	2392525
266	16075	2392263
267	16134	2391973
268	16192	2391567
269	16251	2391404
270	16310	2391171
271	16369	2390920
272	16431	2391096
273	16489	2390779
274	16548	2390495
275	16608	2390459
276	16666	2390111
277	16726	2390001
278	16794	2390966
279	16861	2391910
280	16926	2392513
281	16991	2393175
282	17055	2393659
283	17114	2393426
284	17173	2393162
285	17231	2392801
286	17290	2392527
287	17349	2392301
288	17407	2391952
289	17465	2391589
290	17525	2391503
291	17584	2391293
292	17642	2390941
293	17701	2390661
294	17763	2390849
295	17828	2391490
296	17886	2391123
297	17944	2390766
298	18003	2390503
299	18061	2390176
300	18120	2389956
301	18179	2389636
302	18238	2389520
303	18296	2389156
304	18355	2388903
305	18413	2388594
306	18474	2388657
307	18533	2388416
308	18591	2388125
309	18650	2387802
310	18710	2387813
311	18773	2388100
312	18834	2388106
313	18891	2387708
314	18950	2387450
315	19009	2387260
316	19067	2386976
317	19125	2386558
318	19184	2386450
319	19245	2386393
320	19302	2385976
321	19361	2385761
322	19419	2385508
323	19481	2385616
324	19540	2385396
325	19598	2385114
326	19657	2384903
327	19717	2384905
328	19783	2385487
329	19849	2386136
330	19914	2386617
331	19977	2386946
332	20041	2387398
333	20105	2387683
334	20164	2387495
335	20224	2387434
336	20282	2387193
337	20340	2386791
338	20398	2386527
339	20458	2386402
340	20517	2386226
341	20576	2386033
342	20634	2385773
343	20693	2385508
344	20756	2385775
345	20818	2385945
346	20877	2385790
347	20936	2385596
348	20995	2385377
349	21055	2385280
350	21113	2385016
351	21171	2384705
352	21229	2384389
353	21293	2384735
354	21352	2384581
355	21412	2384461
356	21470	2384161
357	21528	2383927
358	21592	2384219
359	21654	2384389
360	21717	2384678
361	21780	2384928
362	21841	2384946
363	21900	2384734
364	21958	2384431
365	22015	2384087
366	22074	2383907
367	22134	2383749
368	22193	2383619
369	22251	2383347
370	22311	2383285
371	22371	2383150
372	22430	2382934
373	22488	2382692
374	22547	2382530
375	22606	2382297
376	22664	2382020
377	22726	2382207
378	22796	2383167
379	22862	2383738
380	22928	2384272
381	22996	2384984
382	23060	2385391
383	23123	2385558
384	23185	2385658
385	23246	2385671
386	23305	2385496
387	23364	2385381
388	23422	2385051
389	23480	2384768
390	23538	2384492
391	23596	2384228
392	23654	2383958
393	23716	2384058
394	23783	2384661
395	23845	2384791
396	23908	2385038
397	23971	2385271
398	24033	2385299
399	24095	2385480
