iter	Passed	Remaining
0	3416	3413042
1	5975	2981765
2	8698	2890784
3	11195	2787660
4	13759	2738165
5	16102	2667661
6	18608	2639697
7	21186	2627087
8	23881	2629672
9	26542	2627664
10	29064	2613121
11	31607	2602391
12	34274	2602245
13	36824	2593516
14	39380	2586006
15	41778	2569377
16	44225	2557259
17	46846	2555722
18	49348	2547931
19	51833	2539848
20	54371	2534732
21	56850	2527283
22	59426	2524330
23	62129	2526580
24	64631	2520621
25	67198	2517377
26	70012	2523030
27	72451	2515101
28	74914	2508330
29	77389	2502262
30	79967	2499635
31	82441	2493859
32	85064	2492637
33	87537	2487091
34	89944	2479892
35	92651	2481010
36	95223	2478389
37	97676	2472765
38	100026	2464746
39	102460	2459041
40	104874	2453043
41	107318	2447892
42	109609	2439458
43	112034	2434199
44	114440	2428683
45	116947	2425380
46	119748	2428096
47	122282	2425265
48	124655	2419340
49	127272	2418178
50	130023	2419453
51	132483	2415274
52	134906	2410499
53	137585	2410296
54	140207	2409011
55	142549	2402985
56	145200	2402170
57	147759	2399824
58	150604	2402015
59	153952	2411918
60	156952	2416036
61	160367	2426205
62	163855	2437032
63	167788	2453907
64	171249	2463354
65	174467	2468978
66	177419	2470631
67	180437	2473058
68	185130	2497917
69	188357	2502461
70	191635	2507453
71	194807	2510855
72	198105	2515663
73	201703	2524019
74	204594	2523334
75	207471	2522415
76	210519	2523500
77	213754	2526690
78	217080	2530776
79	220152	2531756
80	222976	2529814
81	226405	2534641
82	229556	2536182
83	233197	2542960
84	237045	2551722
85	241755	2569350
86	245192	2573109
87	249264	2583283
88	252291	2582440
89	255400	2582380
90	258376	2580923
91	261722	2583082
92	265171	2586133
93	268452	2587424
